lalalalalalala
|2842561NAR|,|ORGANIZER STAY SAFE|,|UN|,|0|
|2842671|,|ADAPTADOR DE CATETER LUER LOCK CON TAPON|,|UN|,|0|
|2842671AR|,|CATHETER ADAPTOR LUER-LOCK W.CLOSURE CAP|,|UN|,|0|
|2843181|,|CATHETER EXTENSION STAY SAFE LL 32 CM|,|UN|,|0|
|2843181AR|,|CATHETER EXTENSION STAY-SAFE LL 32 CM|,|UN|,|0|
|2845091|,|TAPON PROT. CON DESINFECTANTE STAY.SAFE|,|UN|,|0|
|2845091AR|,|STAY.SAFE DISINFECTION CAP|,|UN|,|0|
|5007041|,|DIALIZADOR HEMOFLOW F4 HPS|,|UN|,|0|
|5007041AR|,|HEMOFLOW F 4 HPS|,|UN|,|0|
|5007051|,|DIALIZADOR HEMOFLOW F5 HPS|,|UN|,|0|
|5007051AR|,|HEMOFLOW F 5 HPS|,|UN|,|0|
|5007061AR|,|HEMOFLOW F 6 HPS|,|UN|,|0|
|5007071|,|DIALIZADOR HEMOFLOW F7 HPS|,|UN|,|0|
|5007071AR|,|HEMOFLOW F 7 HPS|,|UN|,|0|
|5007081|,|DIALIZADOR HEMOFLOW F8 HPS|,|UN|,|0|
|5007081AR|,|HEMOFLOW F 8 HPS|,|UN|,|0|
|5007161|,|DIALIZADOR HEMOFLOW F-60 S|,|UN|,|0|
|5007161AR|,|HEMOFLOW F 60 S|,|UN|,|0|
|5007181|,|DIALIZADOR HEMOFLOW HF80 S|,|UN|,|0|
|5007181AR|,|HEMOFLOW HF 80 S|,|UN|,|0|
|5007201|,|DIALIZADOR HEMOFLOW F10 HPS|,|UN|,|0|
|5007201AR|,|HEMOFLOW F 10 HPS|,|UN|,|0|
|5007341AR|,|ULTRAFLUX AV 400 S|,|UN|,|0|
|5007361AR|,|ULTRAFLUX AV 600 S|,|UN|,|0|
|5008031|,|PlasmaFlux P2 dry|,|UN|,|0|
|5008031AR|,|PlasmaFlux P2 dry|,|UN|,|0|
|5008131|,|FRESENIUS FX600HDF|,|UN|,|0|
|5008131AR|,|FRESENIUS FX600HDF|,|UN|,|0|
|5008141|,|DIALIZADOR FILTRO FX800|,|UN|,|0|
|5008141AR|,|FRESENIUS FX800HDF|,|UN|,|0|
|5008201|,|FILTRO DIASAFE PLUS|,|UN|,|0|
|5008201AR|,|DIASAFE PLUS FILTER|,|UN|,|0|
|5008221|,|DIALIZADOR FX PAED|,|UN|,|0|
|5008221AR|,|FRESENIUS FX-PAED|,|UN|,|0|
|5008841AR|,|FRESENIUS FX40|,|UN|,|0|
|5008851|,|DIALIZADOR FX50|,|UN|,|0|
|5008851AR|,|FRESENIUS FX50|,|UN|,|0|
|5008861|,|DIALIZADOR HELIXONA FX60|,|UN|,|0|
|5008861AR|,|FRESENIUS FX60|,|UN|,|0|
|5008881|,|DIALIZADOR FX80|,|UN|,|0|
|5008881AR|,|FRESENIUS FX80|,|UN|,|0|
|5008901AR|,|FRESENIUS FX100|,|UN|,|0|
|5011421|,|CYCLER SYSTEM PD NIGHT SPANISH 230V|,|UN|,|0|
|5011421FA|,|CICLADORA PARA DIÁLISIS PERITONEAL|,|UN|,|0|
|5019571|,|SET DE DRENAJE PD-NIGHT|,|UN|,|0|
|5019571AR|,|SAFE-LOCK PD-NIGHT DRAINAGE-SET|,|UN|,|0|
|5019731AR|,|TENCKHOFF-CATHETER 835|,|UN|,|0|
|5019961FA|,|STAND FOR PD NIGHT|,|UN|,|0|
|5020021AR|,|CATETER PEDIATRICO 283/115|,|UN|,|0|
|5020031AR|,|PAED. SWAN NECK CURL CATHETER 315/115|,|UN|,|0|
|5020171|,|PD-NIGHT VARIO-PLUS SYSTEM with PIN|,|UN|,|0|
|5020171AR|,|PD-NIGHT VARIO-PLUS SYSTEM with PIN|,|UN|,|0|
|5024581FA|,|SILLA SMART CE|,|UN|,|0|
|5046801AR|,|SAFE LINE TM|,|UN|,|0|
|5049091|,|PH-INDICATOR-STRIPS 100PCS/BOX|,|UN|,|0|
|5049401|,|Membrana Osmosis Inversa Aquauno|,|UN|,|0|
|5049591|,|PRESSURE PUMP|,|UN|,|0|
|5051381|,|INSERTED CONNECTOR 6MMX1/4"|,|UN|,|0|
|5051411|,|PLUG-IN CONNECTOR 6MM RO08/RO4008|,|UN|,|0|
|5052621|,|SET CONEXION RO08/AquaUNO|,|UN|,|0|
|5052621FA|,|Connection-Set *RO08* AquaUNO|,|UN|,|0|
|5055211|,|SET DE LINEAS GENIUS LA "G21"|,|UN|,|0|
|5055211AR|,|GENIUS 90|,|UN|,|0|
|5060781|,|BIBAG 5008 650g|,|UN|,|0|
|5060781AR|,|BIBAG 5008 650 gr|,|UN|,|0|
|5064741|,|AJUSTADOR VERTICAL PARA SOPORTE|,|UN|,|0|
